BUY,MNT,Doors,Persons,Lug,Safe,class
vhigh,vhigh,duas,duas,small,low,unacc
vhigh,vhigh,duas,duas,small,med,unacc
vhigh,vhigh,duas,duas,small,high,unacc
vhigh,vhigh,duas,duas,med,low,unacc
vhigh,vhigh,duas,duas,med,med,unacc
vhigh,vhigh,duas,duas,med,high,unacc
vhigh,vhigh,duas,duas,big,low,unacc
vhigh,vhigh,duas,duas,big,med,unacc
vhigh,vhigh,duas,duas,big,high,unacc
vhigh,vhigh,duas,quatro,small,low,unacc
vhigh,vhigh,duas,quatro,small,med,unacc
vhigh,vhigh,duas,quatro,small,high,unacc
vhigh,vhigh,duas,quatro,med,low,unacc
vhigh,vhigh,duas,quatro,med,med,unacc
vhigh,vhigh,duas,quatro,med,high,unacc
vhigh,vhigh,duas,quatro,big,low,unacc
vhigh,vhigh,duas,quatro,big,med,unacc
vhigh,vhigh,duas,quatro,big,high,unacc
vhigh,vhigh,duas,more,small,low,unacc
vhigh,vhigh,duas,more,small,med,unacc
vhigh,vhigh,duas,more,small,high,unacc
vhigh,vhigh,duas,more,med,low,unacc
vhigh,vhigh,duas,more,med,med,unacc
vhigh,vhigh,duas,more,med,high,unacc
vhigh,vhigh,duas,more,big,low,unacc
vhigh,vhigh,duas,more,big,med,unacc
vhigh,vhigh,duas,more,big,high,unacc
vhigh,vhigh,tres,duas,small,low,unacc
vhigh,vhigh,tres,duas,small,med,unacc
vhigh,vhigh,tres,duas,small,high,unacc
vhigh,vhigh,tres,duas,med,low,unacc
vhigh,vhigh,tres,duas,med,med,unacc
vhigh,vhigh,tres,duas,med,high,unacc
vhigh,vhigh,tres,duas,big,low,unacc
vhigh,vhigh,tres,duas,big,med,unacc
vhigh,vhigh,tres,duas,big,high,unacc
vhigh,vhigh,tres,quatro,small,low,unacc
vhigh,vhigh,tres,quatro,small,med,unacc
vhigh,vhigh,tres,quatro,small,high,unacc
vhigh,vhigh,tres,quatro,med,low,unacc
vhigh,vhigh,tres,quatro,med,med,unacc
vhigh,vhigh,tres,quatro,med,high,unacc
vhigh,vhigh,tres,quatro,big,low,unacc
vhigh,vhigh,tres,quatro,big,med,unacc
vhigh,vhigh,tres,quatro,big,high,unacc
vhigh,vhigh,tres,more,small,low,unacc
vhigh,vhigh,tres,more,small,med,unacc
vhigh,vhigh,tres,more,small,high,unacc
vhigh,vhigh,tres,more,med,low,unacc
vhigh,vhigh,tres,more,med,med,unacc
vhigh,vhigh,tres,more,med,high,unacc
vhigh,vhigh,tres,more,big,low,unacc
vhigh,vhigh,tres,more,big,med,unacc
vhigh,vhigh,tres,more,big,high,unacc
vhigh,vhigh,quatro,duas,small,low,unacc
vhigh,vhigh,quatro,duas,small,med,unacc
vhigh,vhigh,quatro,duas,small,high,unacc
vhigh,vhigh,quatro,duas,med,low,unacc
vhigh,vhigh,quatro,duas,med,med,unacc
vhigh,vhigh,quatro,duas,med,high,unacc
vhigh,vhigh,quatro,duas,big,low,unacc
vhigh,vhigh,quatro,duas,big,med,unacc
vhigh,vhigh,quatro,duas,big,high,unacc
vhigh,vhigh,quatro,quatro,small,low,unacc
vhigh,vhigh,quatro,quatro,small,med,unacc
vhigh,vhigh,quatro,quatro,small,high,unacc
vhigh,vhigh,quatro,quatro,med,low,unacc
vhigh,vhigh,quatro,quatro,med,med,unacc
vhigh,vhigh,quatro,quatro,med,high,unacc
vhigh,vhigh,quatro,quatro,big,low,unacc
vhigh,vhigh,quatro,quatro,big,med,unacc
vhigh,vhigh,quatro,quatro,big,high,unacc
vhigh,vhigh,quatro,more,small,low,unacc
vhigh,vhigh,quatro,more,small,med,unacc
vhigh,vhigh,quatro,more,small,high,unacc
vhigh,vhigh,quatro,more,med,low,unacc
vhigh,vhigh,quatro,more,med,med,unacc
vhigh,vhigh,quatro,more,med,high,unacc
vhigh,vhigh,quatro,more,big,low,unacc
vhigh,vhigh,quatro,more,big,med,unacc
vhigh,vhigh,quatro,more,big,high,unacc
vhigh,vhigh,5more,duas,small,low,unacc
vhigh,vhigh,5more,duas,small,med,unacc
vhigh,vhigh,5more,duas,small,high,unacc
vhigh,vhigh,5more,duas,med,low,unacc
vhigh,vhigh,5more,duas,med,med,unacc
vhigh,vhigh,5more,duas,med,high,unacc
vhigh,vhigh,5more,duas,big,low,unacc
vhigh,vhigh,5more,duas,big,med,unacc
vhigh,vhigh,5more,duas,big,high,unacc
vhigh,vhigh,5more,quatro,small,low,unacc
vhigh,vhigh,5more,quatro,small,med,unacc
vhigh,vhigh,5more,quatro,small,high,unacc
vhigh,vhigh,5more,quatro,med,low,unacc
vhigh,vhigh,5more,quatro,med,med,unacc
vhigh,vhigh,5more,quatro,med,high,unacc
vhigh,vhigh,5more,quatro,big,low,unacc
vhigh,vhigh,5more,quatro,big,med,unacc
vhigh,vhigh,5more,quatro,big,high,unacc
vhigh,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
vhigh,vhigh,5more,more,small,high,unacc
vhigh,vhigh,5more,more,med,low,unacc
vhigh,vhigh,5more,more,med,med,unacc
vhigh,vhigh,5more,more,med,high,unacc
vhigh,vhigh,5more,more,big,low,unacc
vhigh,vhigh,5more,more,big,med,unacc
vhigh,vhigh,5more,more,big,high,unacc
vhigh,high,duas,duas,small,low,unacc
vhigh,high,duas,duas,small,med,unacc
vhigh,high,duas,duas,small,high,unacc
vhigh,high,duas,duas,med,low,unacc
vhigh,high,duas,duas,med,med,unacc
vhigh,high,duas,duas,med,high,unacc
vhigh,high,duas,duas,big,low,unacc
vhigh,high,duas,duas,big,med,unacc
vhigh,high,duas,duas,big,high,unacc
vhigh,high,duas,quatro,small,low,unacc
vhigh,high,duas,quatro,small,med,unacc
vhigh,high,duas,quatro,small,high,unacc
vhigh,high,duas,quatro,med,low,unacc
vhigh,high,duas,quatro,med,med,unacc
vhigh,high,duas,quatro,med,high,unacc
vhigh,high,duas,quatro,big,low,unacc
vhigh,high,duas,quatro,big,med,unacc
vhigh,high,duas,quatro,big,high,unacc
vhigh,high,duas,more,small,low,unacc
vhigh,high,duas,more,small,med,unacc
vhigh,high,duas,more,small,high,unacc
vhigh,high,duas,more,med,low,unacc
vhigh,high,duas,more,med,med,unacc
vhigh,high,duas,more,med,high,unacc
vhigh,high,duas,more,big,low,unacc
vhigh,high,duas,more,big,med,unacc
vhigh,high,duas,more,big,high,unacc
vhigh,high,tres,duas,small,low,unacc
vhigh,high,tres,duas,small,med,unacc
vhigh,high,tres,duas,small,high,unacc
vhigh,high,tres,duas,med,low,unacc
vhigh,high,tres,duas,med,med,unacc
vhigh,high,tres,duas,med,high,unacc
vhigh,high,tres,duas,big,low,unacc
vhigh,high,tres,duas,big,med,unacc
vhigh,high,tres,duas,big,high,unacc
vhigh,high,tres,quatro,small,low,unacc
vhigh,high,tres,quatro,small,med,unacc
vhigh,high,tres,quatro,small,high,unacc
vhigh,high,tres,quatro,med,low,unacc
vhigh,high,tres,quatro,med,med,unacc
vhigh,high,tres,quatro,med,high,unacc
vhigh,high,tres,quatro,big,low,unacc
vhigh,high,tres,quatro,big,med,unacc
vhigh,high,tres,quatro,big,high,unacc
vhigh,high,tres,more,small,low,unacc
vhigh,high,tres,more,small,med,unacc
vhigh,high,tres,more,small,high,unacc
vhigh,high,tres,more,med,low,unacc
vhigh,high,tres,more,med,med,unacc
vhigh,high,tres,more,med,high,unacc
vhigh,high,tres,more,big,low,unacc
vhigh,high,tres,more,big,med,unacc
vhigh,high,tres,more,big,high,unacc
vhigh,high,quatro,duas,small,low,unacc
vhigh,high,quatro,duas,small,med,unacc
vhigh,high,quatro,duas,small,high,unacc
vhigh,high,quatro,duas,med,low,unacc
vhigh,high,quatro,duas,med,med,unacc
vhigh,high,quatro,duas,med,high,unacc
vhigh,high,quatro,duas,big,low,unacc
vhigh,high,quatro,duas,big,med,unacc
vhigh,high,quatro,duas,big,high,unacc
vhigh,high,quatro,quatro,small,low,unacc
vhigh,high,quatro,quatro,small,med,unacc
vhigh,high,quatro,quatro,small,high,unacc
vhigh,high,quatro,quatro,med,low,unacc
vhigh,high,quatro,quatro,med,med,unacc
vhigh,high,quatro,quatro,med,high,unacc
vhigh,high,quatro,quatro,big,low,unacc
vhigh,high,quatro,quatro,big,med,unacc
vhigh,high,quatro,quatro,big,high,unacc
vhigh,high,quatro,more,small,low,unacc
vhigh,high,quatro,more,small,med,unacc
vhigh,high,quatro,more,small,high,unacc
vhigh,high,quatro,more,med,low,unacc
vhigh,high,quatro,more,med,med,unacc
vhigh,high,quatro,more,med,high,unacc
vhigh,high,quatro,more,big,low,unacc
vhigh,high,quatro,more,big,med,unacc
vhigh,high,quatro,more,big,high,unacc
vhigh,high,5more,duas,small,low,unacc
vhigh,high,5more,duas,small,med,unacc
vhigh,high,5more,duas,small,high,unacc
vhigh,high,5more,duas,med,low,unacc
vhigh,high,5more,duas,med,med,unacc
vhigh,high,5more,duas,med,high,unacc
vhigh,high,5more,duas,big,low,unacc
vhigh,high,5more,duas,big,med,unacc
vhigh,high,5more,duas,big,high,unacc
vhigh,high,5more,quatro,small,low,unacc
vhigh,high,5more,quatro,small,med,unacc
vhigh,high,5more,quatro,small,high,unacc
vhigh,high,5more,quatro,med,low,unacc
vhigh,high,5more,quatro,med,med,unacc
vhigh,high,5more,quatro,med,high,unacc
vhigh,high,5more,quatro,big,low,unacc
vhigh,high,5more,quatro,big,med,unacc
vhigh,high,5more,quatro,big,high,unacc
vhigh,high,5more,more,small,low,unacc
vhigh,high,5more,more,small,med,unacc
vhigh,high,5more,more,small,high,unacc
vhigh,high,5more,more,med,low,unacc
vhigh,high,5more,more,med,med,unacc
vhigh,high,5more,more,med,high,unacc
vhigh,high,5more,more,big,low,unacc
vhigh,high,5more,more,big,med,unacc
vhigh,high,5more,more,big,high,unacc
vhigh,med,duas,duas,small,low,unacc
vhigh,med,duas,duas,small,med,unacc
vhigh,med,duas,duas,small,high,unacc
vhigh,med,duas,duas,med,low,unacc
vhigh,med,duas,duas,med,med,unacc
vhigh,med,duas,duas,med,high,unacc
vhigh,med,duas,duas,big,low,unacc
vhigh,med,duas,duas,big,med,unacc
vhigh,med,duas,duas,big,high,unacc
vhigh,med,duas,quatro,small,low,unacc
vhigh,med,duas,quatro,small,med,unacc
vhigh,med,duas,quatro,small,high,acc
vhigh,med,duas,quatro,med,low,unacc
vhigh,med,duas,quatro,med,med,unacc
vhigh,med,duas,quatro,med,high,acc
vhigh,med,duas,quatro,big,low,unacc
vhigh,med,duas,quatro,big,med,acc
vhigh,med,duas,quatro,big,high,acc
vhigh,med,duas,more,small,low,unacc
vhigh,med,duas,more,small,med,unacc
vhigh,med,duas,more,small,high,unacc
vhigh,med,duas,more,med,low,unacc
vhigh,med,duas,more,med,med,unacc
vhigh,med,duas,more,med,high,acc
vhigh,med,duas,more,big,low,unacc
vhigh,med,duas,more,big,med,acc
vhigh,med,duas,more,big,high,acc
vhigh,med,tres,duas,small,low,unacc
vhigh,med,tres,duas,small,med,unacc
vhigh,med,tres,duas,small,high,unacc
vhigh,med,tres,duas,med,low,unacc
vhigh,med,tres,duas,med,med,unacc
vhigh,med,tres,duas,med,high,unacc
vhigh,med,tres,duas,big,low,unacc
vhigh,med,tres,duas,big,med,unacc
vhigh,med,tres,duas,big,high,unacc
vhigh,med,tres,quatro,small,low,unacc
vhigh,med,tres,quatro,small,med,unacc
vhigh,med,tres,quatro,small,high,acc
vhigh,med,tres,quatro,med,low,unacc
vhigh,med,tres,quatro,med,med,unacc
vhigh,med,tres,quatro,med,high,acc
vhigh,med,tres,quatro,big,low,unacc
vhigh,med,tres,quatro,big,med,acc
vhigh,med,tres,quatro,big,high,acc
vhigh,med,tres,more,small,low,unacc
vhigh,med,tres,more,small,med,unacc
vhigh,med,tres,more,small,high,acc
vhigh,med,tres,more,med,low,unacc
vhigh,med,tres,more,med,med,acc
vhigh,med,tres,more,med,high,acc
vhigh,med,tres,more,big,low,unacc
vhigh,med,tres,more,big,med,acc
vhigh,med,tres,more,big,high,acc
vhigh,med,quatro,duas,small,low,unacc
vhigh,med,quatro,duas,small,med,unacc
vhigh,med,quatro,duas,small,high,unacc
vhigh,med,quatro,duas,med,low,unacc
vhigh,med,quatro,duas,med,med,unacc
vhigh,med,quatro,duas,med,high,unacc
vhigh,med,quatro,duas,big,low,unacc
vhigh,med,quatro,duas,big,med,unacc
vhigh,med,quatro,duas,big,high,unacc
vhigh,med,quatro,quatro,small,low,unacc
vhigh,med,quatro,quatro,small,med,unacc
vhigh,med,quatro,quatro,small,high,acc
vhigh,med,quatro,quatro,med,low,unacc
vhigh,med,quatro,quatro,med,med,acc
vhigh,med,quatro,quatro,med,high,acc
vhigh,med,quatro,quatro,big,low,unacc
vhigh,med,quatro,quatro,big,med,acc
vhigh,med,quatro,quatro,big,high,acc
vhigh,med,quatro,more,small,low,unacc
vhigh,med,quatro,more,small,med,unacc
vhigh,med,quatro,more,small,high,acc
vhigh,med,quatro,more,med,low,unacc
vhigh,med,quatro,more,med,med,acc
vhigh,med,quatro,more,med,high,acc
vhigh,med,quatro,more,big,low,unacc
vhigh,med,quatro,more,big,med,acc
vhigh,med,quatro,more,big,high,acc
vhigh,med,5more,duas,small,low,unacc
vhigh,med,5more,duas,small,med,unacc
vhigh,med,5more,duas,small,high,unacc
vhigh,med,5more,duas,med,low,unacc
vhigh,med,5more,duas,med,med,unacc
vhigh,med,5more,duas,med,high,unacc
vhigh,med,5more,duas,big,low,unacc
vhigh,med,5more,duas,big,med,unacc
vhigh,med,5more,duas,big,high,unacc
vhigh,med,5more,quatro,small,low,unacc
vhigh,med,5more,quatro,small,med,unacc
vhigh,med,5more,quatro,small,high,acc
vhigh,med,5more,quatro,med,low,unacc
vhigh,med,5more,quatro,med,med,acc
vhigh,med,5more,quatro,med,high,acc
vhigh,med,5more,quatro,big,low,unacc
vhigh,med,5more,quatro,big,med,acc
vhigh,med,5more,quatro,big,high,acc
vhigh,med,5more,more,small,low,unacc
vhigh,med,5more,more,small,med,unacc
vhigh,med,5more,more,small,high,acc
vhigh,med,5more,more,med,low,unacc
vhigh,med,5more,more,med,med,acc
vhigh,med,5more,more,med,high,acc
vhigh,med,5more,more,big,low,unacc
vhigh,med,5more,more,big,med,acc
vhigh,med,5more,more,big,high,acc
vhigh,low,duas,duas,small,low,unacc
vhigh,low,duas,duas,small,med,unacc
vhigh,low,duas,duas,small,high,unacc
vhigh,low,duas,duas,med,low,unacc
vhigh,low,duas,duas,med,med,unacc
vhigh,low,duas,duas,med,high,unacc
vhigh,low,duas,duas,big,low,unacc
vhigh,low,duas,duas,big,med,unacc
vhigh,low,duas,duas,big,high,unacc
vhigh,low,duas,quatro,small,low,unacc
vhigh,low,duas,quatro,small,med,unacc
vhigh,low,duas,quatro,small,high,acc
vhigh,low,duas,quatro,med,low,unacc
vhigh,low,duas,quatro,med,med,unacc
vhigh,low,duas,quatro,med,high,acc
vhigh,low,duas,quatro,big,low,unacc
vhigh,low,duas,quatro,big,med,acc
vhigh,low,duas,quatro,big,high,acc
vhigh,low,duas,more,small,low,unacc
vhigh,low,duas,more,small,med,unacc
vhigh,low,duas,more,small,high,unacc
vhigh,low,duas,more,med,low,unacc
vhigh,low,duas,more,med,med,unacc
vhigh,low,duas,more,med,high,acc
vhigh,low,duas,more,big,low,unacc
vhigh,low,duas,more,big,med,acc
vhigh,low,duas,more,big,high,acc
vhigh,low,tres,duas,small,low,unacc
vhigh,low,tres,duas,small,med,unacc
vhigh,low,tres,duas,small,high,unacc
vhigh,low,tres,duas,med,low,unacc
vhigh,low,tres,duas,med,med,unacc
vhigh,low,tres,duas,med,high,unacc
vhigh,low,tres,duas,big,low,unacc
vhigh,low,tres,duas,big,med,unacc
vhigh,low,tres,duas,big,high,unacc
vhigh,low,tres,quatro,small,low,unacc
vhigh,low,tres,quatro,small,med,unacc
vhigh,low,tres,quatro,small,high,acc
vhigh,low,tres,quatro,med,low,unacc
vhigh,low,tres,quatro,med,med,unacc
vhigh,low,tres,quatro,med,high,acc
vhigh,low,tres,quatro,big,low,unacc
vhigh,low,tres,quatro,big,med,acc
vhigh,low,tres,quatro,big,high,acc
vhigh,low,tres,more,small,low,unacc
vhigh,low,tres,more,small,med,unacc
vhigh,low,tres,more,small,high,acc
vhigh,low,tres,more,med,low,unacc
vhigh,low,tres,more,med,med,acc
vhigh,low,tres,more,med,high,acc
vhigh,low,tres,more,big,low,unacc
vhigh,low,tres,more,big,med,acc
vhigh,low,tres,more,big,high,acc
vhigh,low,quatro,duas,small,low,unacc
vhigh,low,quatro,duas,small,med,unacc
vhigh,low,quatro,duas,small,high,unacc
vhigh,low,quatro,duas,med,low,unacc
vhigh,low,quatro,duas,med,med,unacc
vhigh,low,quatro,duas,med,high,unacc
vhigh,low,quatro,duas,big,low,unacc
vhigh,low,quatro,duas,big,med,unacc
vhigh,low,quatro,duas,big,high,unacc
vhigh,low,quatro,quatro,small,low,unacc
vhigh,low,quatro,quatro,small,med,unacc
vhigh,low,quatro,quatro,small,high,acc
vhigh,low,quatro,quatro,med,low,unacc
vhigh,low,quatro,quatro,med,med,acc
vhigh,low,quatro,quatro,med,high,acc
vhigh,low,quatro,quatro,big,low,unacc
vhigh,low,quatro,quatro,big,med,acc
vhigh,low,quatro,quatro,big,high,acc
vhigh,low,quatro,more,small,low,unacc
vhigh,low,quatro,more,small,med,unacc
vhigh,low,quatro,more,small,high,acc
vhigh,low,quatro,more,med,low,unacc
vhigh,low,quatro,more,med,med,acc
vhigh,low,quatro,more,med,high,acc
vhigh,low,quatro,more,big,low,unacc
vhigh,low,quatro,more,big,med,acc
vhigh,low,quatro,more,big,high,acc
vhigh,low,5more,duas,small,low,unacc
vhigh,low,5more,duas,small,med,unacc
vhigh,low,5more,duas,small,high,unacc
vhigh,low,5more,duas,med,low,unacc
vhigh,low,5more,duas,med,med,unacc
vhigh,low,5more,duas,med,high,unacc
vhigh,low,5more,duas,big,low,unacc
vhigh,low,5more,duas,big,med,unacc
vhigh,low,5more,duas,big,high,unacc
vhigh,low,5more,quatro,small,low,unacc
vhigh,low,5more,quatro,small,med,unacc
vhigh,low,5more,quatro,small,high,acc
vhigh,low,5more,quatro,med,low,unacc
vhigh,low,5more,quatro,med,med,acc
vhigh,low,5more,quatro,med,high,acc
vhigh,low,5more,quatro,big,low,unacc
vhigh,low,5more,quatro,big,med,acc
vhigh,low,5more,quatro,big,high,acc
vhigh,low,5more,more,small,low,unacc
vhigh,low,5more,more,small,med,unacc
vhigh,low,5more,more,small,high,acc
vhigh,low,5more,more,med,low,unacc
vhigh,low,5more,more,med,med,acc
vhigh,low,5more,more,med,high,acc
vhigh,low,5more,more,big,low,unacc
vhigh,low,5more,more,big,med,acc
vhigh,low,5more,more,big,high,acc
high,vhigh,duas,duas,small,low,unacc
high,vhigh,duas,duas,small,med,unacc
high,vhigh,duas,duas,small,high,unacc
high,vhigh,duas,duas,med,low,unacc
high,vhigh,duas,duas,med,med,unacc
high,vhigh,duas,duas,med,high,unacc
high,vhigh,duas,duas,big,low,unacc
high,vhigh,duas,duas,big,med,unacc
high,vhigh,duas,duas,big,high,unacc
high,vhigh,duas,quatro,small,low,unacc
high,vhigh,duas,quatro,small,med,unacc
high,vhigh,duas,quatro,small,high,unacc
high,vhigh,duas,quatro,med,low,unacc
high,vhigh,duas,quatro,med,med,unacc
high,vhigh,duas,quatro,med,high,unacc
high,vhigh,duas,quatro,big,low,unacc
high,vhigh,duas,quatro,big,med,unacc
high,vhigh,duas,quatro,big,high,unacc
high,vhigh,duas,more,small,low,unacc
high,vhigh,duas,more,small,med,unacc
high,vhigh,duas,more,small,high,unacc
high,vhigh,duas,more,med,low,unacc
high,vhigh,duas,more,med,med,unacc
high,vhigh,duas,more,med,high,unacc
high,vhigh,duas,more,big,low,unacc
high,vhigh,duas,more,big,med,unacc
high,vhigh,duas,more,big,high,unacc
high,vhigh,tres,duas,small,low,unacc
high,vhigh,tres,duas,small,med,unacc
high,vhigh,tres,duas,small,high,unacc
high,vhigh,tres,duas,med,low,unacc
high,vhigh,tres,duas,med,med,unacc
high,vhigh,tres,duas,med,high,unacc
high,vhigh,tres,duas,big,low,unacc
high,vhigh,tres,duas,big,med,unacc
high,vhigh,tres,duas,big,high,unacc
high,vhigh,tres,quatro,small,low,unacc
high,vhigh,tres,quatro,small,med,unacc
high,vhigh,tres,quatro,small,high,unacc
high,vhigh,tres,quatro,med,low,unacc
high,vhigh,tres,quatro,med,med,unacc
high,vhigh,tres,quatro,med,high,unacc
high,vhigh,tres,quatro,big,low,unacc
high,vhigh,tres,quatro,big,med,unacc
high,vhigh,tres,quatro,big,high,unacc
high,vhigh,tres,more,small,low,unacc
high,vhigh,tres,more,small,med,unacc
high,vhigh,tres,more,small,high,unacc
high,vhigh,tres,more,med,low,unacc
high,vhigh,tres,more,med,med,unacc
high,vhigh,tres,more,med,high,unacc
high,vhigh,tres,more,big,low,unacc
high,vhigh,tres,more,big,med,unacc
high,vhigh,tres,more,big,high,unacc
high,vhigh,quatro,duas,small,low,unacc
high,vhigh,quatro,duas,small,med,unacc
high,vhigh,quatro,duas,small,high,unacc
high,vhigh,quatro,duas,med,low,unacc
high,vhigh,quatro,duas,med,med,unacc
high,vhigh,quatro,duas,med,high,unacc
high,vhigh,quatro,duas,big,low,unacc
high,vhigh,quatro,duas,big,med,unacc
high,vhigh,quatro,duas,big,high,unacc
high,vhigh,quatro,quatro,small,low,unacc
high,vhigh,quatro,quatro,small,med,unacc
high,vhigh,quatro,quatro,small,high,unacc
high,vhigh,quatro,quatro,med,low,unacc
high,vhigh,quatro,quatro,med,med,unacc
high,vhigh,quatro,quatro,med,high,unacc
high,vhigh,quatro,quatro,big,low,unacc
high,vhigh,quatro,quatro,big,med,unacc
high,vhigh,quatro,quatro,big,high,unacc
high,vhigh,quatro,more,small,low,unacc
high,vhigh,quatro,more,small,med,unacc
high,vhigh,quatro,more,small,high,unacc
high,vhigh,quatro,more,med,low,unacc
high,vhigh,quatro,more,med,med,unacc
high,vhigh,quatro,more,med,high,unacc
high,vhigh,quatro,more,big,low,unacc
high,vhigh,quatro,more,big,med,unacc
high,vhigh,quatro,more,big,high,unacc
high,vhigh,5more,duas,small,low,unacc
high,vhigh,5more,duas,small,med,unacc
high,vhigh,5more,duas,small,high,unacc
high,vhigh,5more,duas,med,low,unacc
high,vhigh,5more,duas,med,med,unacc
high,vhigh,5more,duas,med,high,unacc
high,vhigh,5more,duas,big,low,unacc
high,vhigh,5more,duas,big,med,unacc
high,vhigh,5more,duas,big,high,unacc
high,vhigh,5more,quatro,small,low,unacc
high,vhigh,5more,quatro,small,med,unacc
high,vhigh,5more,quatro,small,high,unacc
high,vhigh,5more,quatro,med,low,unacc
high,vhigh,5more,quatro,med,med,unacc
high,vhigh,5more,quatro,med,high,unacc
high,vhigh,5more,quatro,big,low,unacc
high,vhigh,5more,quatro,big,med,unacc
high,vhigh,5more,quatro,big,high,unacc
high,vhigh,5more,more,small,low,unacc
high,vhigh,5more,more,small,med,unacc
high,vhigh,5more,more,small,high,unacc
high,vhigh,5more,more,med,low,unacc
high,vhigh,5more,more,med,med,unacc
high,vhigh,5more,more,med,high,unacc
high,vhigh,5more,more,big,low,unacc
high,vhigh,5more,more,big,med,unacc
high,vhigh,5more,more,big,high,unacc
high,high,duas,duas,small,low,unacc
high,high,duas,duas,small,med,unacc
high,high,duas,duas,small,high,unacc
high,high,duas,duas,med,low,unacc
high,high,duas,duas,med,med,unacc
high,high,duas,duas,med,high,unacc
high,high,duas,duas,big,low,unacc
high,high,duas,duas,big,med,unacc
high,high,duas,duas,big,high,unacc
high,high,duas,quatro,small,low,unacc
high,high,duas,quatro,small,med,unacc
high,high,duas,quatro,small,high,acc
